epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6148,1.41364,1.85442,1.33516,0.60078,0.57943,0.58464,0.27189,1.74526,1.51204,1.56748,0.000543844,0.000543844,0.000543844
2,68.0629,1.40903,1.13836,1.28578,0.60714,0.61797,0.60953,0.28558,1.77713,1.32268,1.58606,0.00108863,0.00108863,0.00108863
3,99.9654,1.44024,1.12291,1.31825,0.59886,0.59323,0.57475,0.26761,1.78216,1.37795,1.57419,0.0016224,0.0016224,0.0016224
4,131.888,1.45922,1.13537,1.31815,0.61773,0.58192,0.6044,0.27836,1.81355,1.35443,1.57925,0.00161749,0.00161749,0.00161749
5,163.51,1.47401,1.135,1.32406,0.62832,0.58374,0.60284,0.28331,1.81722,1.31116,1.60844,0.00160099,0.00160099,0.00160099
6,195.928,1.47006,1.14232,1.31901,0.58841,0.6085,0.60773,0.28093,1.82225,1.2936,1.58936,0.00158448,0.00158448,0.00158448
7,227.996,1.48448,1.15125,1.34453,0.58855,0.615,0.62166,0.29809,1.77712,1.28518,1.54314,0.00156798,0.00156798,0.00156798
8,260.259,1.48216,1.10837,1.32822,0.59738,0.58291,0.58749,0.27482,1.82569,1.34105,1.58128,0.00155148,0.00155148,0.00155148
9,291.911,1.47805,1.11412,1.3428,0.59967,0.58815,0.59804,0.28225,1.83178,1.33778,1.57223,0.00153497,0.00153497,0.00153497
10,323.966,1.46893,1.12723,1.32306,0.57033,0.6037,0.59318,0.28687,1.77029,1.33174,1.55013,0.00151847,0.00151847,0.00151847
11,355.238,1.45712,1.11161,1.31687,0.64018,0.6081,0.62587,0.30274,1.76583,1.24916,1.54587,0.00150197,0.00150197,0.00150197
12,387.24,1.47264,1.09872,1.32362,0.60946,0.61183,0.60017,0.28195,1.82525,1.30332,1.57491,0.00148546,0.00148546,0.00148546
13,418.797,1.46783,1.11598,1.33346,0.62407,0.59947,0.6187,0.29049,1.80236,1.2926,1.55869,0.00146896,0.00146896,0.00146896
14,450.61,1.47706,1.12472,1.31469,0.57466,0.58606,0.58126,0.27813,1.807,1.33022,1.56272,0.00145246,0.00145246,0.00145246
15,482.075,1.45716,1.08184,1.33853,0.59147,0.5901,0.58605,0.28168,1.76915,1.32581,1.54338,0.00143595,0.00143595,0.00143595
16,514.159,1.46814,1.08481,1.32781,0.63419,0.57168,0.60915,0.28944,1.79152,1.2995,1.57319,0.00141945,0.00141945,0.00141945
17,545.547,1.44123,1.0937,1.30798,0.6024,0.61193,0.61105,0.28182,1.76725,1.29467,1.54213,0.00140295,0.00140295,0.00140295
18,578.215,1.44727,1.09586,1.31931,0.63211,0.58271,0.61582,0.29376,1.78183,1.28766,1.56222,0.00138644,0.00138644,0.00138644
19,609.91,1.42921,1.05829,1.30423,0.59013,0.60434,0.60733,0.29338,1.76251,1.28566,1.54281,0.00136994,0.00136994,0.00136994
20,641.885,1.43479,1.05196,1.31814,0.60639,0.60153,0.59614,0.28203,1.77841,1.30223,1.5548,0.00135344,0.00135344,0.00135344
21,673.222,1.40117,1.0486,1.29356,0.61245,0.60014,0.62074,0.2966,1.7668,1.26571,1.55571,0.00133693,0.00133693,0.00133693
22,705.144,1.41702,1.0382,1.30718,0.60153,0.60706,0.60716,0.28952,1.78232,1.27048,1.57206,0.00132043,0.00132043,0.00132043
23,737.416,1.42585,1.05731,1.30133,0.58363,0.60591,0.60431,0.28328,1.82441,1.30242,1.58522,0.00130393,0.00130393,0.00130393
24,769.205,1.41471,1.03671,1.30612,0.60669,0.61497,0.6042,0.29017,1.78382,1.28276,1.56307,0.00128742,0.00128742,0.00128742
25,800.83,1.41561,1.04525,1.28557,0.63807,0.594,0.60739,0.28891,1.81044,1.27514,1.5781,0.00127092,0.00127092,0.00127092
26,832.81,1.42121,1.06826,1.31557,0.59704,0.60488,0.61011,0.29195,1.83353,1.2777,1.60394,0.00125442,0.00125442,0.00125442
